DANH SACH TIN THIEN TAI LOC DUOC (22:33 04/01/2026)
Tong so tin quet: 2715
Tong so tin lay:  20
============================================================

  1. [COLD_SURGE     ] H=4.0 C=0 M=[] [Thanh Niên] Không khí lạnh khiến 18 tỉnh chuyển rét, vùng núi đề phòng băng giá (Rules: cold_surge)
  2. [COLD_SURGE     ] H=5.5 C=1 M=[] [Thanh Niên] Miền Bắc rét đậm, rét hại, không khí lạnh đi sâu vào Nam Trung bộ (Rules: extreme_weather|cold_surge|warning_forecast)
  3. [COLD_SURGE     ] H=4.0 C=0 M=['temperature_c', 'earthquake_magnitude'] [Dân Trí] Miền Bắc nhiều nơi rét hại, thấp nhất 4 độ C (Rules: cold_surge)
  4. [SUBSIDENCE     ] H=4.0 C=0 M=[] [Dân Trí] Hố sụt lún sâu hơn 3m xuất hiện giữa quốc lộ (Rules: subsidence)
  5. [RECOVERY       ] H=5.0 C=3 M=[] [baosonla.org.vn] Sơn La tiếp nhận trên 82,7 tỷ đồng hỗ trợ khắc phục hậu quả thiên tai (Rules: recovery)
  6. [MARINE         ] H=4.0 C=0 M=[] [Người Lao Động] Một chiếc tàu vỏ sắt không bóng người, trôi dạt trên biển Quảng Ngãi (Rules: marine)
  7. [MARINE         ] H=5.0 C=3 M=['wind_level'] [Người Lao Động] Tàu chìm khi vào cửa cảng, ngư dân 16 tuổi mất tích (Rules: marine)
  8. [RECOVERY       ] H=0.0 C=4 M=[] [VietnamPlus] Đà Nẵng: Lật ghe trên sông Nước Xa khiến 1 người thiệt mạng (Rules: )
  9. [MARINE         ] H=5.0 C=3 M=[] [VTV News] Tìm thấy thi thể thiếu niên mất tích sau vụ chìm tàu cá ở biển La Gi (Rules: marine)
 10. [STORM          ] H=5.0 C=2 M=[] [VTV News] Hơn 91 tỷ đồng ủng hộ đồng bào Quảng Ngãi bị ảnh hưởng bởi bão, lũ (Rules: storm|recovery)
 11. [RECOVERY       ] H=4.0 C=3 M=[] [VTV News] Tiếp nhận hàng viện trợ từ Ba Lan cho người dân bị thiên tai tỉnh Đắk Lắk (Rules: recovery)
 12. [RECOVERY       ] H=0.0 C=1 M=[] [VTV News] Quốc tế hỗ trợ 23,8 triệu USD khắc phục thiên tai (Rules: )
 13. [RECOVERY       ] H=4.0 C=3 M=[] [VTV News] Trao Công trình thanh niên hỗ trợ người dân Khánh Hòa khắc phục hậu quả mưa lũ (Rules: recovery)
 14. [MARINE         ] H=5.0 C=4 M=[] [VTV News] Đồng Nai: Chìm tàu chở đá tại bến thủy nội địa, 1 người tử vong (Rules: marine)
 15. [FLOOD          ] H=5.0 C=3 M=[] [Báo Xây dựng] Đắk Lắk: 113 người tử vong trong trận mưa lũ lịch sử (Rules: flood)
 16. [LANDSLIDE      ] H=4.0 C=1 M=[] [Báo Xây dựng] Tìm thấy hai nạn nhân vụ sạt lở trên quốc lộ 6 (Rules: landslide)
 17. [RECOVERY       ] H=4.0 C=4 M=[] [Báo Xây dựng] Tiếp tục phân bổ 150 tỷ đồng cho 4 tỉnh Khánh Hòa, Đắk Lắk, Gia Lai và Lâm Đồng (Rules: recovery)
 18. [RECOVERY       ] H=5.0 C=5 M=[] [Báo Xây dựng] Dồn lực cứu trợ tâm lũ Phú Yên, giúp người dân vực dậy cuộc sống sau lũ (Rules: recovery)
 19. [STORM          ] H=6.0 C=2 M=[] [Báo Xây dựng] Hơn 2.088 tỷ đồng ủng hộ đồng bào các vùng chịu thiệt hại do bão lũ (Rules: storm|recovery)
 20. [MARINE         ] H=5.0 C=3 M=[] [Báo Sức khỏe & Đời sống] Tìm thấy thi thể thuyền viên mất tích tại biển La Gi (Lâm Đồng) (Rules: marine)
